@relation resumen

@attribute tamanho {Corta,Mediana,Larga}
@attribute localizacion {Primera,Segunda,Mediana,Penúltima,Última}
@attribute tiempo {PRES,PAST,FUT,IMP,PRES_CPO,PAST_CPO,FUT_CPO,PRES_CT,PAST_CT,FUT_CT,PRES_CPO_CT,PAST_CPO_CT,FUT_CPO_CT,COND,noverb}
@attribute voz {PASIVO,ACTIVO,noverb}
@attribute modal {si,no,noverb}
@attribute expresion {B,G,P,M,R,C,S,noexpr}
@attribute categoria {B,G,P,M,R,C,S}

@data
Mediana,Mediana,PRES,ACTIVO,no,noexpr,C
Mediana,Penúltima,PAST,ACTIVO,no,noexpr,C
Mediana,Última,PAST,ACTIVO,no,noexpr,C

% Texto 34
Mediana,Primera,PAST,ACTIVO,no,noexpr,P
Corta,Segunda,PAST,ACTIVO,no,noexpr,M
Corta,Mediana,PAST,ACTIVO,no,noexpr,M
Mediana,Mediana,PAST,ACTIVO,no,noexpr,M
Corta,Mediana,PAST,ACTIVO,no,noexpr,M
Mediana,Mediana,PAST,ACTIVO,no,noexpr,M
Corta,Mediana,PAST,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Larga,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PAST,ACTIVO,no,noexpr,M
Larga,Mediana,PAST,ACTIVO,no,noexpr,M
Corta,Mediana,PAST,ACTIVO,no,noexpr,M
Mediana,Penúltima,PAST,ACTIVO,no,noexpr,M
Mediana,Última,PAST,ACTIVO,no,noexpr,M

% Texto 35
Mediana,Primera,PRES,ACTIVO,no,noexpr,P
Mediana,Segunda,PRES,ACTIVO,no,noexpr,P
Mediana,Mediana,PRES,ACTIVO,si,noexpr,P
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Penúltima,PRES,ACTIVO,no,noexpr,M
Mediana,Última,PRES,ACTIVO,no,noexpr,M

% Texto 36


% Texto 37
Mediana,Primera,PRES,ACTIVO,no,noexpr,B
Mediana,Segunda,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,B,B
Mediana,Mediana,PRES,ACTIVO,no,G,G
Larga,Mediana,PRES_CPO,ACTIVO,no,noexpr,G
Mediana,Mediana,PRES,ACTIVO,no,noexpr,G
Mediana,Mediana,PRES,ACTIVO,no,P,P
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,M,M
Larga,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Larga,Penúltima,PRES,ACTIVO,si,R,R
Mediana,Última,PRES,ACTIVO,no,C,C

% Texto 38
Mediana,Primera,PRES,ACTIVO,no,noexpr,B
Mediana,Segunda,PRES_CPO,ACTIVO,no,G,G
Mediana,Mediana,PRES,ACTIVO,no,noexpr,P
Mediana,Mediana,PRES,ACTIVO,no,noexpr,P
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Larga,Penúltima,PRES,ACTIVO,no,noexpr,R
Corta,Última,PRES,ACTIVO,no,noexpr,R

% Texto 39
Corta,Primera,PRES_CPO,ACTIVO,no,B,B
Corta,Segunda,PRES_CPO,ACTIVO,no,noexpr,B
Corta,Mediana,PRES_CPO,ACTIVO,no,noexpr,B
Corta,Mediana,PRES,ACTIVO,no,noexpr,B
Corta,Mediana,PRES,ACTIVO,no,G,G
Corta,Mediana,PRES,ACTIVO,no,noexpr,P
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES_CPO,ACTIVO,no,noexpr,R
Mediana,Mediana,PRES,ACTIVO,no,R,R
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,R,R
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Penúltima,PRES,ACTIVO,si,noexpr,R
Mediana,Última,PRES,ACTIVO,no,noexpr,C

% Texto 40
Mediana,Primera,PRES_CPO,ACTIVO,no,noexpr,B
Corta,Segunda,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,noexpr,B
Larga,Mediana,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,G,G
Mediana,Mediana,PRES_CPO,ACTIVO,no,P,P
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Corta,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,si,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,no,noexpr,M
Corta,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Corta,Mediana,PRES,ACTIVO,si,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,noexpr,M
Larga,Penúltima,PRES_CPO,ACTIVO,no,noexpr,M
Larga,Última,PRES,ACTIVO,no,noexpr,R

% Texto 41
Mediana,Primera,PRES,ACTIVO,no,noexpr,G
Larga,Segunda,PRES,ACTIVO,no,P,P
Mediana,Mediana,PRES,ACTIVO,no,M,B
Corta,Mediana,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,noexpr,B
Corta,Mediana,PRES,ACTIVO,no,noexpr,G
Mediana,Mediana,PRES,ACTIVO,no,M,P
Mediana,Mediana,PRES,ACTIVO,no,M,M
Mediana,Mediana,PRES,ACTIVO,no,noexpr,M
Mediana,Mediana,PRES_CPO,ACTIVO,no,M,R
Mediana,Mediana,IMP,ACTIVO,no,noexpr,G
Mediana,Mediana,PRES,ACTIVO,no,noexpr,G
Larga,Mediana,PRES,ACTIVO,no,C,C
Mediana,Penúltima,PRES,ACTIVO,si,noexpr,C
Corta,Última,PRES,ACTIVO,no,noexpr,C

% Texto 42
Mediana,Primera,PRES_CPO,ACTIVO,no,B,B
Larga,Segunda,PRES_CPO,PASIVO,no,noexpr,B
Corta,Mediana,PRES,ACTIVO,si,G,G
Larga,Mediana,PRES,ACTIVO,no,noexpr,G
Mediana,Mediana,PRES,ACTIVO,no,G,G
Corta,Mediana,PRES,ACTIVO,no,G,G
Mediana,Mediana,PRES,ACTIVO,no,noexpr,G
Corta,Mediana,FUT,ACTIVO,si,noexpr,G
Mediana,Mediana,PRES_CPO,ACTIVO,no,M,P
Larga,Mediana,PRES,ACTIVO,no,M,M
Mediana,Mediana,PRES,ACTIVO,no,G,M
Larga,Mediana,PRES,ACTIVO,no,G,M
Larga,Penúltima,PRES,ACTIVO,no,G,M
Mediana,Última,PRES_CPO,ACTIVO,no,noexpr,M

% Texto 43
Corta,Primera,PRES,ACTIVO,no,noexpr,B
Corta,Segunda,PRES,ACTIVO,no,noexpr,B
Mediana,Mediana,PRES,ACTIVO,no,G,G
Mediana,Mediana,PRES,ACTIVO,no,P,P
Mediana,Mediana,PRES,ACTIVO,no,noexpr,P
Mediana,Mediana,PRES,ACTIVO,no,noexpr,R
Mediana,Mediana,PRES,ACTIVO,no,noexpr,R
Larga,Penúltima,PRES,ACTIVO,no,R,R
Mediana,Última,PRES,ACTIVO,no,noexpr,R

% Texto 44
Mediana,Primera,PRES,ACTIVO,no,M,P
Mediana,Segunda,PRES,ACTIVO,no,M,M
Mediana,Mediana,PRES,ACTIVO,no,M,M
